id_user,id_permission
18,5453
18,5816
18,5816
18,5476
18,5785
18,5816
18,5476
18,546
18,5748
18,5573
18,546
18,5446
18,2982
18,5476
18,5446
18,5744
18,546
18,5096
18,5446
18,5816
18,582
18,5816
18,5476
18,5449
18,5476
18,2982
18,546
18,2982
18,5476
18,5816
18,546
18,5476
18,7036
18,7087
18,546
18,5449
18,5446
18,5482
18,546
18,5446
18,7105
18,5785
18,5446
18,5476
18,5444
18,5449
18,5096
18,17334
18,8805
18,546
18,5476
18,5446
18,20308
18,2982
18,5446
18,546
18,7087
18,5446
18,7095
18,5785
18,17334
89,5476
89,546
89,5446
89,5453
89,5816
89,5816
89,5476
89,5573
89,546
89,5476
89,5446
89,546
89,5446
89,5816
89,5449
97,5785
97,8805
97,2982
97,13408
97,7087
97,2982
97,7095
97,7087
97,17334
97,7095
97,17334
134,5816
134,5449
134,5476
134,546
134,5446
134,5453
134,5816
134,582
134,5476
134,5449
134,546
134,5476
134,5446
134,546
134,5446
144,5816
144,5476
144,546
144,5446
144,5453
150,5446
150,5453
150,5816
150,5476
150,546
150,5816
150,5446
150,5449
150,5476
150,546
150,5816
150,5446
150,5573
150,5476
150,546
177,546
177,5816
177,5446
177,5573
177,5476
177,546
177,5446
177,5453
177,5816
177,5476
177,5816
177,546
177,5476
177,5816
177,5446
177,546
177,5449
177,7036
177,5476
177,5446
188,5449
188,5096
188,582
188,5476
188,5446
188,5449
188,546
188,5476
188,5446
188,546
188,5446
188,2982
188,5476
188,5482
188,546
263,5785
263,5748
263,2982
263,5744
263,5096
279,17334
279,20308
279,2982
279,7087
279,7105
361,2982
361,5476
361,5482
361,546
361,5449
361,5096
361,582
361,5476
361,5446
361,5449
361,546
361,13408
361,5476
361,5446
361,2982
361,546
361,7087
361,5446
361,7095
361,17334
365,2982
365,7087
365,7105
365,17334
365,20308
439,5476
439,546
439,5816
439,5446
439,5449
439,5476
439,546
439,5816
439,5446
439,5573
439,5476
439,546
439,5446
439,5453
439,5816
555,2982
555,7087
555,7105
555,17334
555,20308
567,5816
567,5476
567,546
567,7036
567,5446
658,5444
658,5816
658,5476
658,546
658,5446
670,5816
670,5449
670,5476
670,5482
670,546
670,5449
670,5816
670,5446
670,5476
670,5573
670,546
670,5476
670,5446
670,546
670,5446
671,5816
671,5446
671,5573
671,5816
671,5476
671,5476
671,546
671,546
671,5446
671,5446
671,5444
671,5816
671,5449
671,5476
671,546
675,20308
675,17334
675,5453
675,5816
675,5785
675,5816
675,5476
675,5816
675,5573
675,546
675,5816
675,5476
675,5785
675,5785
675,5476
675,5446
675,5476
675,2982
675,546
675,5748
675,8805
675,546
675,546
675,5476
675,5446
675,2982
675,2982
675,5446
675,5446
675,546
675,5744
675,7087
675,5444
675,5096
675,5096
675,7095
675,5446
675,17334
675,2982
675,13408
675,7087
675,2982
675,7105
675,7087
675,17334
675,7095
846,5816
846,5449
846,5476
846,546
846,5446
846,5453
846,5816
846,5816
846,5476
846,5573
846,546
846,5816
846,5476
846,5446
846,5476
846,546
846,546
846,5446
846,5446
846,5444
858,5785
858,5816
858,5476
858,546
858,5446
863,5573
863,546
863,5816
863,5476
863,5446
863,5476
863,7095
863,5476
863,5446
863,5476
863,546
863,546
863,17334
863,13408
863,546
863,546
863,5446
863,5446
863,2982
863,5446
863,5446
863,7087
863,5444
863,7095
863,5816
863,17334
863,5816
863,5476
863,5449
863,546
863,5476
863,7036
863,546
863,5446
863,5446
863,5785
863,2982
863,5748
863,5785
863,5453
863,5476
863,2982
863,8805
863,5816
863,5482
863,546
863,5785
863,5744
863,2982
863,5816
863,5476
863,5449
863,5096
863,5816
863,5096
863,7087
874,5785
874,2982
874,5748
874,5453
874,5476
874,2982
874,5816
874,5482
874,546
874,5785
874,5744
874,5816
874,5476
874,5449
874,5096
874,5816
874,5096
874,5573
874,546
874,5816
874,5476
874,5446
874,5476
874,5476
874,5446
874,5476
874,546
874,546
874,546
874,546
874,5446
874,5446
874,5446
874,5446
874,5444
874,5816
874,5816
874,5476
874,5449
874,546
874,5476
874,7036
874,546
874,5446
874,5446
